Diseases,Solution
Mosaic Virus of Pumkin,"Remove and destroy the affected leaves, then spray with 0.5 ml Tilt 250 EC per liter of water."
Mosaic Virus of Bitter Gourd,Emamectin Benzoate group insecticide Proclaim should be sprayed well on all the plants in the late afternoon mixed at the rate of 1 gram per liter of water.
Mosaic Virus of Yard Long Bean,Prepare a Bordeaux mixture and spray it on the soil around the base of the plant.
Leaf Curl Disease of Chili and Tomato,"Mix 0.5 ml of Voliam Flexi 300 SC in every liter of water, thoroughly wet the plants by spraying, and repeat the spray within 7 days."
Damping off Sunflower,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves."
-,"Mix 0.5 ml of Voliam Flexi 300 SC in every liter of water, thoroughly wet the plants by spraying, and repeat the spray within 7 days."
Japanese Beetle of Maize,Proclaim (1gm/L) or Tracer from the Spinosad group (0.4 ml/L) or Nitro (1ml/L) insecticides should be sprayed in the afternoon.
Yellow Mosaic of Pumkin,"Infected plants should be removed and destroyed, then 2 ml of Vertimec insecticide per liter of water should be sprayed thoroughly over the entire plant, top and bottom of the leaves."
Late Blight of Tomato,Mancozeb + Metalaxyl group fungicide Ridomilgold MZ 68 WG mixed with water at the rate of 5.0 gm per liter and sprayed.
Cutworm of Sunflower,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
Leaf Rust of Yard Long Bean,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
Cucumber whitefly insect,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
Leaf Miner of Snake Gourd,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
Sunflower Stem Rot,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
Leaf Blight of Rice,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
Proper way of Harvesting Mungbean,"1. Affected plants should be removed and destroyed.
  2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
When to harvest Sunflower,Carbendazim Group Fungicide Autostin 50 WG or Nowin 50 WP should be mixed at the rate of 2 gm / liter in water and spray on the soil of the plant base.
Bed Prepartion for Vegetable,Chlorpyrifos + Cypermethrin group insecticide Nitro 505 EC should be mixed at the rate of 2 ml per liter of water and sprayed in the late afternoon.
Stem Rot of Nut,Site selection for Vermicompost plant
Cladosporium leaf spot of spinac,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Brinjal fruit and shoot borer,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
leaf miner of yeard long bean,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter water and spray.
Seedling Preparation ,Soil test of Boro Rice field
What measures should be taken for vegetables after a heavy cyclone?,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Aman Rice seed bed preparation procedure,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.
Fungal attack of cucumber,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter of water and spray.
Downy Mildew of Bitter gourd,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.
Bitter gourd plant damage in some place,Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon.
Seedling nurishing,Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter of water and spray.
Leaf curl of bitter gourd,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.
vegetable cultivation technology related problem,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.
weeds in vegetables field,The first top dress of urea fertilizer and irrigation should be applied.
Cowdung wet in Vermicompost Chamber,Carbendazim group fungicide should be mixed at the rate of 20 grams per 10 liters of water and sprayed in the afternoon.
Yellowish leaf of chili,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
Yellowish leaf of Bitter gourd,Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon.
leaf Curl of chilli,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
How to prepare bed for aman seed,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
To knowledge about Aman rice seedbed,Emamectin Benzoate group insecticide should be mixed at the rate of 10 gm per 10 liters of water and spray.
Problem in vegetable bed preparation,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
YLB leaf attack by fungus,Pyraclostrobin 5% + Metiram 55% group fungicide should be mixed at the rate of 30 grams per 10 liters of water and sprayed well.
Fruit fly attack in bitter gourd field,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
Bitter gourd leaf being yellowish along with stem,Propiconazole group fungicides mixed at 0.5 ml per liter of water spray in the late afternoon.
bottom part of bitter gourd is being rotten and leaf burn,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Slower growth of plant in some place,Cypermethrin group insecticide should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon.
To know about Aman rice seedbed,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Cowdung in upper side of compost plat is hard and bitter gourd plant damaged by excessive rainfall,"Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Cucumber fruit became reddish at early stage,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
Excessive weed in base of plant and yellow sticky trap aren't placed properly,Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon.
White fly infection in bittergourd,Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon.
Problem in Aman rice seedbed,Spray Tricycozol and cupperoxicloride fungicide at 2ml/ l in the afternoon
Problem in Amar Bon bed preparation,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
No drainage system in Aman rice seedbed.,Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired.
Aman rice cultivation,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
White fly infection in bittergourd and gummy stem blight of bottle gourd,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
White fly infection in bittergourd and gummy stem blight of bottle gourd.,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
Information for Amar Bon,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
Water in chilli field.,"Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
Yellowish leaf of bitter gourd for rainfall,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
Amar Bon information,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
Yellowish leaf if LYB,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
Leaf roll of Okra,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
Weeds and stugnant water,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
Yellowish leaf of some vegetables.,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
Vegetables damaged by aphid,"For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
Vegetable field caring,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Rotting in bottle gourd,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Amon Rice information,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Rotting in LYB,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Rotting in Cucumber,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Vegetable leaf roll,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Amar Bon bed damaged by rainfall,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Aman Rice Information,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Vegetable bed was damaged by rainfall,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
vegetable plant is rotten,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Fish pond bank damaged,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Roll of Chilli,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Black spot in bottle gourd leaf.,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Vegetable cultivation information,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Fruit rof of bottle gourd,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Damage of vegetable field,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Bed preparation for Amar Bon,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Weeds in Chilli field,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Root rot of YLB,1)Use Pheromon trap  2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval.
Leaf Roll of squash gourd,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Grey mold of bottle gourd,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Bacterial leaf blight of Rice,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Vegetables bed preparation,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Weeds in bottle gourd field,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Vermicompost Information,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Seedling information,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Leaf spot of yardlong bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Aphid of yardlong bean,Spray cypermethrin group pesticide in 1gm/l water at afternoon
Downy Mildew of Sweet Gourd,Cut the sunflower when the yellow petals fall off and oilseeds are hard
Management of rice from pests,Cut the sunflower when the yellow petals fall off and oilseeds are hard
Vegetable Cultivation,Cut the sunflower when the yellow petals fall off and oilseeds are hard
White fly of okra,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Mite of Bitter Gourd,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Whitefly of Bottle Gourd,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Whitefly of Bean,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Whitefly of Sweet Gourd,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Cucumber Mosaic Virus,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Sunflower field selction,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Anthracnose of Bottle Gourd,"Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
Leaf curl of YLB,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Fungus in Cucurbit,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Land selection for Sunflower,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Sunflower land selection,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Use of seedling tray,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Care of Vermicompost,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Anthracnose of bitter gourd,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Gummy Stem blight of Sweet Gourd,Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning.
Bittle attrac in Potato Leaf,"To prepare bed in sorjan system, the beds must be wide and drainage system must be ensured"
Mosaic virus in pumpkin,"In bed preparetion, usage of MOP and Gypsum fertilizer need to be ensured"
Leaf spot in Chilli leaf,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Land Preparation,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Sheath Blight of Rice,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Stem Rot of Rice,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Yellow stem borer of Rice,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
Care of vegetables,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
Fruit rot of bottle gourd,Rippen cobes need to be collected and should be stored after sun dry
Milibug of Papaya,Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon.
Aphid in Bean plant,Half of the vermicompost plant mut be filled with dry cowdung
Brown plant hopper of Aman rice,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
Mango leaf hopper,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
Fruit fly in pumpkin plan,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Care of Bottle gourd Plant,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Fruit damage of bottle gourd,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Fruit fly in sponge gourd,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Land Preparation for potato,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Fruit fly in bottle gourd,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Leaf Curl of tomato,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Flower fall of vegetable,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Care of chili plant,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Care of brinjal plant,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Care of Fish,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
White fly in brinjal,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Leaf roll of Brinjal,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Wilt of bringal,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Aphid in bean,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Aphid in YLB,"On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
Sunflower Cultivation,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
Downey Mildew of bottle gourd,"Water level should be at least 3 feet, if possible water needs to be stored"
Yellowish leaf of bottle gourd,Half of the vermicompost plant mut be filled with dry cowdung after cleaning the plant
Leaf Curl of Bottle gourd,"To target Kharif-1 season, land selection for bed preparation needs to be initiated"
Insect Attack on Brinjal,Routine irrigation must be ensured
Brown spot on Chilli leaf,Straw mulching needs to be implemented
Mosaic on Bottle Gourd,Weeds should be cleaned off the vegetable bed
Potato Cultivation,Bed must be raised and should be cleaned
Leaf curl of cucumber,Stagnant water should be released from the top of vegetable beds
Scab on Bottle Gourd,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Cutworm attack on Maize plant,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Leaf Curl  of Tomato,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Stem rot of tomato,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Insect Attack on Pumpkin,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Stunting growth of Mustard,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Suggestion on Mungbean Land Preparation,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Attack of Cabbage Butterfly on Cabbage,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Attack of Cabbage Butterfly on Caulifloer,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Yellowing of Watermelon Leaves,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
Fruit fly attack on Bottle gourd,"1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging
2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots.
3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
