problem,solution
"Pod Borer of Bean","1. Collect and destroy infested flowers or fruit with insects daily. 2. Emamectin Benzoate group insecticide Proclaim should be sprayed well on all the plants in the late afternoon mixed at the rate of 1 gram per liter of water."
"White Fly in Pumpkin Mobile Adaptation Clinic","For control of whitefly in Pumpkin Mobile Adaptation Clinics, organic insecticides such as neem leaf extract, mahogany tree fruit extract, tobacco leaf extract and detergent powder mixed with water should be sprayed well on the entire plant at regular intervals."
"Fall Army Worm of Maize","Nitro 505 EC insecticide 1 ml per liter of water should be mixed proportionally and sprayed on the plants well in the late afternoon."
"Insects in vegetables Mobile Adaptation Clinics","For control of insects in vegetables Mobile Adaptation Clinics, organic insecticides such as detergent powder, neem leaf extract, mahogany tree fruit extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals."
"Downy Mildew of Cucumber","Remove and destroy the affected leaves, then spray every 7-10 days with 2 grams Ridomil Gold per liter of water."
"Leaf Curling of Chilli and Cucumber","For control of vector insects in pepper and cucumber plant, organic insecticides such as neem leaf extract, detergent powder, mahogany tree seed extract, tobacco leaf extract mixed with water should be sprayed well on the entire plant at regular intervals."
"Anthracnose of Khirai","Remove and destroy the affected leaves, then spray with 0.5 ml Tilt 250 EC per liter of water."
"Brinjal Shoot and Fruit Borer","Emamectin Benzoate group insecticide Proclaim should be sprayed well on all the plants in the late afternoon mixed at the rate of 1 gram per liter of water."
"Wilting of Brinjal","Prepare a Bordeaux mixture and spray it on the soil around the base of the plant."
"-","Regular weeding from the land to eliminate competition for nutrients with crops and reduce the risk of pests and diseases. Irrigation in the early morning or late afternoon to reduce water loss through evaporation and risk of fungal diseases. Staking tomato plants at the base of the plant support upright growth and fruit bearing."
"Brinjal Shoot and Fruit Borer","Mix 0.5 ml of Voliam Flexi 300 SC in every liter of water, thoroughly wet the plants by spraying, and repeat the spray within 7 days."
"Fall Army Worm of Maize","Proclaim (1gm/L) or Tracer from the Spinosad group (0.4 ml/L) or Nitro (1ml/L) insecticides should be sprayed in the afternoon."
"-","Provide guidance on sowing sunflower seeds properly."
"-","After sowing sunflower seeds, provide guidance on subsequent steps and care for the seedlings."
"Gummy Stem Blight of Bottle Gourd","Mancozeb + Metalaxyl group fungicide Ridomilgold MZ 68 WG mixed with water at the rate of 5.0 gm per liter and sprayed."
"Leaf Curl Disease of Tomato","1. Affected plants should be removed and destroyed. 2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
"Leaf Curl Disease of Chili","1. Affected plants should be removed and destroyed. 2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
"-","Provide necessary advice to take care of Boro rice seedlings."
"Mosaic Virus of Pumkin","1. Affected plants should be removed and destroyed. 2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
"Mosaic Virus of Bitter Gourd","1. Affected plants should be removed and destroyed. 2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
"Mosaic Virus of Yard Long Bean","1. Affected plants should be removed and destroyed. 2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
"Leaf Curl Disease of Chili and Tomato","1. Affected plants should be removed and destroyed. 2. Imidachlorpid group insecticide Admire 20 SL or Imitaf 20 SL should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
"-","After sowing Maize seeds, provide guidance on subsequent steps and care for the seedlings."
"Damping off Sunflower","Carbendazim Group Fungicide Autostin 50 WG or Nowin 50 WP should be mixed at the rate of 2 gm / liter in water and spray on the soil of the plant base."
"Fall Army Worm of Maize","Chlorpyrifos + Cypermethrin group insecticide Nitro 505 EC should be mixed at the rate of 2 ml per liter of water and sprayed in the late afternoon."
"-","Site selection for Vermicompost plant"
"Japanese Beetle of Maize","Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon."
"Yellow Mosaic of Pumkin","Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon."
"-","The first top dress of urea fertilizer and irrigation should be applied."
"Late Blight of Tomato","Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter water and spray."
"-","Soil test of Boro Rice field"
"Leaf Curl of Chili","Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon."
"Fall Army Worm of Maize","Carbaryl group insecticide should be mixed at the rate of 3 gm per liter of water and spray in the late afternoon."
"Late Blight of Tomato","Mancozeb + Metalaxyl group fungicide should be mixed at the rate of 2 gm per liter of water and spray."
"-","Gap filling and extra seedlings should be uprooted."
"Fall Army Worm of Maize","Lambda Cyhalothrin group insecticide should be mixed at the rate of 15 ml per 10 liters of water and spray in the late afternoon."
"Damping off Sunflower","Carbendazim group fungicide should be mixed at the rate of 20 grams per 10 liters of water and sprayed in the afternoon."
"Cutworm of Sunflower","Chlorpyrifos + Cypermethrin group insecticide should be mixed at the rate of 2 ml per litre of water and spray in the late afternoon."
"-","Kharif-1 vegetable cultivation plan"
"Cutworm of Sunflower","Emamectin Benzoate group insecticide should be mixed at the rate of 10 gm per 10 liters of water and spray."
"-","Advice on cucumber plant care."
"-","Advice on Pumkin plant care."
"Fall Army Worm of Maize","Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides should be mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon."
"Downy Mildew of Cucumber","Pyraclostrobin 5% + Metiram 55% group fungicide should be mixed at the rate of 30 grams per 10 liters of water and sprayed well."
"Fall Army Worm of Maize","Lufenuron (40%) + Emamectin benzoate (10%) group of insecticides mixed at the rate of 5 gm per 10 liters of water and sprayed in the late afternoon."
"Leaf Rust of Yard Long Bean","Propiconazole group fungicides mixed at 0.5 ml per liter of water spray in the late afternoon."
"Cucumber whitefly insect","Imidachlorpid group insecticide should be mixed at the rate of 1 ml per liter of water and spray in the late afternoon."
"Leaf Miner of Snake Gourd","Cypermethrin group insecticide should be mixed at the rate of 1 ml per liter of water and sprayed in the late afternoon."
"Sunflower Stem Rot","Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
"-","The 2nd top dress of urea fertilizer and irrigation should be applied."
"Leaf Blight of Rice","Spray Tricycozol and cupperoxicloride fungicide at 2ml/ l in the afternoon"
"Proper way of Harvesting Mungbean","Picking mung bean pods which are yellow green and are about to be ripen; stripping to obtain mung bean grains; washing the mung beans and leaching the water; putting the mung beans under sunlight to be aired."
"When to harvest Sunflower","Sunflowers have died back completely and the backs of the blooms are brown, And the petals are starting to fall off and it's time to harvest. Cut the stalk with sharp scissors or pruners, about one foot down from the flower head, and dry it properly."
"Bed Prepartion for Vegetable","For peat remove all rocks, old roots, and plant debris. Dig down a little further with the shovel (a few more inches) to just loosen up the soil. Mix the soil with organic matter such as compost."
"Stem Rot of Nut","Spray Carbendazim and Mancozeb Fungicide 2gm/l with water at Late Morning."
"Cladosporium leaf spot of spinac","Spray Carbendazim 12% + Mancozeb 63% fungicide mixed at the rate of 2 grams per liter of water should be sprayed in the afternoon and after 4-5 days copper oxychloride fungicide should be mixed at the rate of 5 grams per liter of water and sprayed in the afternoon, thus spraying at regular intervals."
"Brinjal fruit and shoot borer","1)Use Pheromon trap 2) Spray Carbaryl group insecticide 2gm/l water in afternoon at 5-7 days interval."
"leaf miner of yeard long bean","Spray cypermethrin group pesticide in 1gm/l water at afternoon"
"-","Cut the sunflower when the yellow petals fall off and oilseeds are hard"
"Seedling Preparation","On this adverse environment, prepare seedling for Kharif 1 vegetable before transplanting to the bed in the field. Prepare Madha properly with compost and fertilizer then transplant the seedlings carefully."
"-","To prepare bed in sorjan system, the beds must be wide and drainage system must be ensured"
"-","In bed preparetion, usage of MOP and Gypsum fertilizer need to be ensured"
"-","To target Kharif-1 season, land selection for bed preparation needs to be initiated"
"-","Rippen cobes need to be collected and should be stored after sun dry"
"-","Half of the vermicompost plant mut be filled with dry cowdung"
"-","Water level should be at least 3 feet, if possible water needs to be stored"
"-","Half of the vermicompost plant mut be filled with dry cowdung after cleaning the plant"
"-","Routine irrigation must be ensured"
"-","Straw mulching needs to be implemented"
"-","Weeds should be cleaned off the vegetable bed"
"-","Bed must be raised and should be cleaned"
"-","Stagnant water should be released from the top of vegetable beds"
"What measures should be taken for vegetables after a heavy cyclone?","1) Quickly remove standing water from fields using pumps, drainage channels, or trenches to prevent waterlogging 2)Where possible, gently aerate the soil to improve drainage and oxygen availability to the roots. 3) Watch closely for signs of diseases like bacterial wilt and fungal infections, which thrive in waterlogged conditions. Implement fungicide at afternoon."
"Aman Rice seed bed preparation procedure","Must be select high land for seed bed preparation and make ensure proper drainage system"
"-","GI wire must be installed in vegetable trellis"
"Fungal attack of cucumber","Carbendazim group fungicide should be sprayed according to machine rate"
"Downy Mildew of Bitter gourd","1. Severe affected plants should be removed and destroyed. 2. Spraying Mancozeb 2g/lit twice at 10 days interval."
"-","Yellow sticky trap and pheromone trap should installed properly"
"Bitter gourd plant damage in some place","The gap should be fiiled quickly by making seedling at home."
"Seedling nurishing","Stick should be attached with seedling."
"Seedling nurishing","Stick should be attached with seedling and weeding should be done."
"Leaf curl of bitter gourd","It is recommended to spray Imidaclopid ."
"-","Sticking needs to be set up with bitter gourd seedling"
"-","Seedbed should be prepared within July month"
"vegetable cultivation technology related problem","Manure should be apply in the vegetables bed."
"weeds in vegetables field","Weeds should be cleaned off the vegetable bed"
"-","Manure should be apply in the vegetables bed."
"Cowdung wet in Vermicompost Chamber","Cowdung should be change from the chamber and chamber cover with polythene."
"-","Must be select high land for Aman seed bed preparation and make ensure proper drainage system"
"vegetable cultivation technology related problem","Weeds should be cleaned off the vegetable bed and provide trellis"
"-","Regulated fungicide spray should be done after heavy rain"
"vegetable cultivation technology related problem","For vegetables cultivation bed should be high and ensure proper drainage system"
"Weeds in vegetables field","Weeding should be done by hand hoe"
"vegetable cultivation technology related problem","Yellow Trap and Pheromone trap"
"Yellowish leaf of chili","Spray 2g Mancogev mixed with 1L water"
"Yellowish leaf of Bitter gourd","Excessive water should be remove from bed and Spray 2g Mancogev mixed with 1L water"
"leaf Curl of chilli","1kg half crushed neem seed soaked in 20L water for 24 Hours then spray the water in the field"
"Leaf Curl of Bitter gourd","Excessive water should be remove from bed and spray Emadacloropid insecticide"
"How to prepare bed for aman seed","Must be select high land for Aman seed bed preparation and make ensure proper drainage system"
"To knowledge about Aman rice seedbed","Aman seed should be sown in the seedbed within 15 july."
"Problem in vegetable bed preparation","To drain out water from bed a deep canal should be made between two bed."
"YLB leaf attack by fungus","Spraying Propiconazol group fungicide at the rate of 0.5mm in late afternoon."
"Leaf curl of bitter gourd","Spraying Imidaclopid group insecticide at the rate of 1ml/1L water"
"Fruit fly attack in bitter gourd field","Pheromone trap and yellow sticky trap should be placed in field as soon as possible"
"Bitter gourd leaf being yellowish along with stem","Weeding should be done within two days and spray mancozeb group fungicide"
"bottom part of bitter gourd is being rotten and leaf burn","Affected leaf should be destroyed and spray mancozeb+ carbendazim group fungicide if necessary"
"Slower growth of plant in some place","Weeding should be done and Pheromone trap and yellow sticky trap should be placed in field as soon as possible"
"To know about Aman rice seedbed","Seedbed should be prepare in this week and seeding within 15th july."
"Gummy stem blight of bottle gourd","Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning then after 3 days spray insectide."
"Cowdung in upper side of compost plat is hard and bitter gourd plant damaged by excessive rainfall","Cowdung should be changed and add earth worm within 7 days. Apply mancozeb at bitter gourd field."
"Cucumber fruit became reddish at early stage","Zypsum fertilizer apply at the base of plant and drainout excessive water imidiately"
"Excessive weed in base of plant and yellow sticky trap aren't placed properly","Weeding should be done immediately and yellow sticky trap should be placed properly."
"Yellowish leaf of bitter gourd","Applying Nitrogen fertilizer at the base of bitter gourd and care should be taken that excess water does not accumulate at the base."
"White fly infection in bittergourd","Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon"
"Problem in Aman rice seedbed","Provide information about seedbed and drainage system"
"Problem in Amar Bon bed preparation","Information was given to prepare proper bed according to guideline."
"No drainage system in Aman rice seedbed.","By making canal to ensure proper drainage system."
"Aman rice cultivation","Transplanting should be done at 25-30 days after sedding and follow line logo."
"White fly infection in bittergourd and gummy stem blight of bottle gourd","Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon for bittle gourd and Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning then after 3 days spray insectide for bottle gourd."
"White fly infection in bittergourd and gummy stem blight of bottle gourd.","Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon for bittle gourd and Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning for bottle gourd."
"Gummy stem blight of bottle gourd","Spray mancozeb+ cupper oxicloride group fungicide and affected leaf should be destroyed and spray in the morning"
"Information for Amar Bon","For new Amar Bon information was given according to guideline"
"Water in chilli field.","Water should be drainout as soon as possible by pump."
"Yellowish leaf of bitter gourd for rainfall","Spraying mancozeb fungicide."
"Amar Bon information","Suggestion was given for Amar Bon tree plantation according to guideline."
"Yellowish leaf of bitter gourd","Stagnant water at the base of the plant should be drained quickly and mancozeb fungicide should be sprayed."
"Amar Bon information","Stick will be attached with provided plant for Amar Bon."
"Yellowish leaf if LYB","Spraying mancozeb + Carbendazim group fungicide as per instruction."
"Leaf roll of Okra","Spraying abamecting as per instruction."
"Weeds and stugnant water","water should be drainout as soon as possible by pump and weeding should be done"
"Yellowish leaf of some vegetables.","Spraying mancozeb + Carbendazim group fungicide as per instruction."
"Vegetables damaged by aphid","Spraying Imidaclorpid and Sypermithion 1ml/L water"
"Vegetable field caring","Excessive water from vegetable field shoud be drained out."
"Rotting in bottle gourd","Spraying mancozeb + Carbendazim group fungicide as per instruction."
"Yellowish leaf of bitter gourd","Spraying mancozeb in sunny time"
"Amon Rice information","Transplanting should be done by following line logo."
"Rotting in LYB","Spraying mancozeb in sunny time"
"Amon Rice information","Excessive water from transplanted field shoud be drained out."
"Rotting in Cucumber","Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time"
"Vegetable leaf roll","Spraying abamecting as per instruction."
"Yellowish leaf of bitter gourd","Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time"
"Amar Bon bed damaged by rainfall","Amar Bon bed should be fixed at sunny time."
"Aman Rice Information","Stugnant water should be drain out by pump and line logo should be maintained at the time of transplanting."
"Vegetable bed was damaged by rainfall","Excessive water should be drain out and prepare new bed with mulching."
"vegetable plant is rotten","spray Carbendazim fungicide as per instruction"
"Fish pond bank damaged","Damaged area should be covered by soil and polythene."
"Roll of Chilli","Spray Boron and Zinc along with Bio ferty as a vitamin. After 5 days spary fungicide as per requirement."
"Aman Rice Information","Stugnant water should be drain out by pump ."
"Black spot in bottle gourd leaf.","Spray fungicide at the sunny time."
"Vegetable cultivation information","At the time of bed preparation mulching should be used"
"Vegetable cultivation information","It is suggested to bring fallow land under cultivation."
"Fruit rof of bottle gourd","Spraying mancozeb + Carbendazim group fungicide as per instruction in sunny time"
"Damage of vegetable field","Proper drainage system should be done at the time of bed preparation"
"Bed preparation for Amar Bon","According to our gouideline bed preparation should be done as soon as possible"
"Weeds in Chilli field","Weeding should be done within 2 days"
"Root rot of YLB","Spray Carbendazim fengicide @1.5gm/L in the afternoon."
"Leaf Roll of squash gourd","Spray Imidaclorpid + abamectin benzoate @1ml/L & 1gm/L."
"Grey mold of bottle gourd","Apply Copper Oxycloride/ mancogeb fangicide."
"Bacterial leaf blight of Rice","Spray 50-100gm Potash fertilizer with 10L water in 5 decimal land."
"Vegetables bed preparation","Recommended sorjon method for vegetables bed preparation."
"Aman Rice Information","Persing should be done in Rice field."
"Weeds in bottle gourd field","Weeding should be done within 2 days"
"Vermicompost Information","After collecting compost from plant cowdung should be added again."
"Vegetable cultivation information","At the time of bed preparation soil treatment should be done."
"Seedling information","At the time of seeding must be used organic fertilizer along with cocopit/ soil in seedling tray."
"Leaf spot of yardlong bean","Spraying mancozeb /Carbendazim group fungicide as per instruction in sunny time"
"Aphid of yardlong bean","Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon"
"Downy Mildew of Sweet Gourd","1. Severe affected plants should be removed and destroyed. 2. Spraying Mancozeb 2g/lit twice at 10 days interval."
"Management of rice from pests","Using Bamboo poles or tree branches for perching method at rice field"
"Vegetable Cultivation","Using organic fertilizer for bed preparation"
"White fly of okra","Use of yellow sticky trap to reduce infestation"
"Management of rice from pests","Cultivation of bean seedling at the Ail of rice field to reduce pests"
"Grey mold of bottle gourd","Spray Copper Oxichloride grup fungicide as per instruction"
"Mite of Bitter Gourd","Spraying abamecting as per instruction."
"Whitefly of Bottle Gourd","Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon"
"Vegetable Cultivation","Using organic fertilizer"
"Whitefly of Bean","Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon"
"Whitefly of Sweet Gourd","Spray Imidachlorpid group insecticide mixed at the rate of 1 ml/L water in the late aftternoon"
"Vegetable Cultivation","Using raise bed method for bed preparation"
"Cucumber Mosaic Virus","Initially use Mehogany tree bark/fruit with Detergent as per instructon. If infestation become more than spray Asitamiprid group insecticide as per instruction"
"Sunflower field selction","Select raise land for cultivation"
"Gummy stem blight of bottle gourd","Spray Copper oxicloride group fungicide and affected leaf should be destroyed"
